T1 P1 D0.400000 X+0.133970 Z-464.352810 I+60.000000 J+60.000000 Q2 ;desb ext 1.2 
T2 P2 D0.400000 X+6.755510 Z-587.748000 I+60.000000 J+60.000000 Q2 ;acabamento 
T3 P3 D1.200000 X+123.052000 Z-607.556000 I+60.000000 J+60.000000 Q2 ;desb int 1.2 
T4 P4 D0.400000 X+27.428352 Z-376.162339 I+60.000000 J+60.000000 Q3 ;sangrador 
T5 P5 D0.400000 X+125.191000 Z-604.742000 I+60.000000 J+60.000000 Q2 ;teste 1 
T6 P6 D0.400000 X+43.404996 Z-564.325000 I+60.000000 J+60.000000 Q2 ;teste 2 
T7 P7 D0.400000 X+21.000000 Z+21.000000 I+60.000000 J+60.000000 Q2 ;
T8 P8 D0.400000 X+17.405019 Z-490.687389 I+60.000000 J+60.000000 Q2 ;
T9 P9 D0.400000 X+1.789440 Z-488.600000 I+60.000000 J+60.000000 Q2 ;
T10 P10 D0.400000 X+6.755510 Z-587.748000 I+60.000000 J+60.000000 Q2 ;acabamento 
T11 P11 D1.200000 X+123.052000 Z-607.556000 I+60.000000 J+60.000000 Q2 ;desb int 1.2 
T12 P12 D0.400000 X-12.119500 Z-551.814000 I+60.000000 J+60.000000 Q3 ;sangrador 
T13 P13 D0.400000 X+125.191000 Z-604.742000 I+60.000000 J+60.000000 Q2 ;teste 1 
T14 P14 D0.400000 X-21.026100 Z-564.325000 I+60.000000 J+60.000000 Q2 ;teste 2 
T15 P15 D0.400000 X+21.000000 Z+21.000000 I+60.000000 J+60.000000 Q2 ;
T16 P16 D0.400000 X+1.789440 Z-488.600000 I+60.000000 J+60.000000 Q2 ;
